"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437424975,       1.122557883,      0.9452904018,       4.075857377
          0,           0,           1,      -2.252514455,      0.2478287257,      0.1507727142,       3.259246136
          0,           0,           2,      -2.584206735,     -0.1325845071,     -0.2525779813,       2.935259748
          0,           0,           3,      -2.734261038,     -0.2937649171,     -0.3792820554,       2.779194577
          0,           0,           4,      -2.905625845,     -0.4799036183,     -0.6144120892,       2.610338824
          0,           0,           5,      -3.087703854,     -0.6264269847,     -0.7369676114,       2.436462049
          0,           0,           6,      -3.191380175,     -0.7506424973,     -0.8432898134,       2.327594078
          0,           0,           7,       -3.31659791,     -0.9072209042,     -0.9831979404,       2.204176492
          0,           0,           8,       -3.47243659,      -1.023287249,      -1.093585098,       2.060953429
          0,           0,           9,      -3.593230249,      -1.118019667,      -1.198503425,       1.946322123
          0,           0,          10,      -3.698888643,      -1.222483041,       -1.29125375,       1.838319914
          0,           0,          11,      -3.809439339,      -1.301987817,      -1.378368324,       1.721427439
          0,           0,          12,      -3.916349933,      -1.371464141,       -1.46360211,       1.603840189
          0,           0,          13,       -4.00489503,      -1.437963847,      -1.540645215,       1.500093692
          0,           0,          14,      -4.097417326,      -1.499662714,      -1.622082669,       1.394187931
          0,           0,          15,      -4.188884622,      -1.542380884,      -1.690948623,       1.288811077
          0,           0,          16,       -4.27486422,      -1.585329439,      -1.766385584,       1.180813057
          0,           0,          17,      -4.340555502,      -1.623082746,      -1.839878641,       1.085185913
          0,           0,          18,      -4.397497916,       -1.65779897,      -1.911564493,      0.9813572275
          0,           0,          19,      -4.442958425,      -1.689853111,      -1.979979947,      0.8847446634
          0,           0,          20,       -4.48214963,      -1.723148889,      -2.052829138,      0.7855710201
          0,           0,          21,      -4.510038994,      -1.751785074,       -2.11647643,      0.6984325967
          0,           0,          22,      -4.534544991,      -1.781652105,      -2.184129587,      0.6087309529
          0,           0,          23,         -4.557117,      -1.811040948,       -2.24800597,      0.5308696267
