"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4814595639,       2.305869862,       2.185542484,       5.253007815
          0,           0,           1,     -0.7819141919,       1.992621747,       1.908658707,       4.953321666
          0,           0,           2,     -0.8589813833,        1.94580985,       1.747686149,       4.883695791
          0,           0,           3,     -0.9958655649,       1.833195196,       1.564456955,       4.748478225
          0,           0,           4,      -1.054800268,       1.767520562,       1.481694161,       4.683790865
          0,           0,           5,      -1.110747906,       1.689090542,       1.424122977,        4.60838686
          0,           0,           6,      -1.173963586,       1.602022389,       1.369804404,       4.526875117
          0,           0,           7,       -1.23023021,       1.523172344,       1.309147838,       4.450250895
          0,           0,           8,      -1.287131212,       1.454820508,       1.246039493,       4.378232829
          0,           0,           9,       -1.35174788,       1.383731519,       1.172721787,       4.303004651
          0,           0,          10,       -1.42220984,       1.315387249,       1.086056061,       4.232831603
          0,           0,          11,      -1.507225164,       1.244056404,      0.9946925503,       4.162680239
          0,           0,          12,      -1.616080752,        1.15486092,      0.8981085213,       4.078211709
          0,           0,          13,      -1.743933299,       1.049219135,      0.7893455892,       3.976043966
          0,           0,          14,      -1.873218731,      0.9369592622,      0.6689604979,       3.860573346
          0,           0,          15,      -1.982457185,      0.8368879425,      0.5494812814,       3.746113689
          0,           0,          16,      -2.060582061,      0.7718800837,      0.4522025748,       3.666653641
          0,           0,          17,      -2.131147126,      0.7274309799,      0.3806983213,       3.621427764
          0,           0,          18,      -2.218543754,      0.6750027406,      0.3150636198,       3.572546457
          0,           0,          19,      -2.314340573,      0.6087717807,      0.2336545147,       3.503682063
          0,           0,          20,      -2.386075784,      0.5418865966,      0.1369451576,       3.424359128
          0,           0,          21,      -2.427504309,      0.4875265279,     0.04470492869,       3.355152005
          0,           0,          22,      -2.467908319,      0.4450530125,    -0.02841538219,       3.306366184
          0,           0,          23,      -2.529502092,      0.4041432639,    -0.09355018094,       3.265784579
          0,           0,          24,      -2.606886968,      0.3598660283,     -0.1674569804,       3.220170023
          0,           0,          25,      -2.671204731,      0.3170490961,      -0.248837191,       3.170779043
          0,           0,          26,      -2.703885743,      0.2814068879,     -0.3182608798,        3.12604113
          0,           0,          27,       -2.72202937,      0.2517327694,     -0.3650224889,       3.089594095
          0,           0,          28,      -2.746492162,      0.2230441589,     -0.4021631006,       3.057326151
          0,           0,          29,      -2.779625598,      0.1932898968,     -0.4433273782,        3.02465601
          0,           0,          30,      -2.811997743,      0.1643439478,     -0.4883940716,       2.991665125
          0,           0,          31,      -2.836085369,      0.1386017171,     -0.5293627588,       2.960993363
          0,           0,          32,      -2.854260078,      0.1157436066,      -0.563005911,       2.933467658
          0,           0,          33,      -2.872779993,     0.09356673748,     -0.5938105044,       2.907363685
          0,           0,          34,      -2.894189571,     0.07074419379,     -0.6261909724,        2.88099938
          0,           0,          35,      -2.916670421,     0.04768465179,     -0.6598926844,       2.854501827
          0,           0,          36,      -2.937219948,     0.02552711338,     -0.6918133437,       2.829116345
          0,           0,          37,      -2.954850699,     0.00472921703,     -0.7189251194,       2.805462892
          0,           0,          38,      -2.970783127,    -0.01511549817,     -0.7416374427,       2.783063923
          0,           0,          39,      -2.986537888,    -0.03453788425,     -0.7628191332,       2.761146837
          0,           0,          40,      -3.002457332,    -0.05365805772,     -0.7841355411,       2.739440162
          0,           0,          41,      -3.017916571,    -0.07239692632,     -0.8047358889,       2.718053384
          0,           0,          42,      -3.032473556,    -0.09091144312,     -0.8235172671,       2.696962868
          0,           0,          43,       -3.04651922,     -0.1096785074,     -0.8413202168,       2.675894148
          0,           0,          44,      -3.060629898,     -0.1291445157,     -0.8595127253,         2.6546152
          0,           0,          45,      -3.074817353,     -0.1495232993,     -0.8782885846,       2.632890881
          0,           0,          46,      -3.088615124,     -0.1709371692,     -0.8974316045,       2.610006418
          0,           0,          47,      -3.101870111,     -0.1936318669,       -0.91789224,        2.58459309
          0,           0,          48,      -3.115076202,     -0.2176584744,     -0.9405725381,       2.555602512
          0,           0,          49,      -3.128982288,     -0.2421442491,     -0.9639545076,       2.523900045
          0,           0,          50,      -3.144007957,      -0.265030584,     -0.9844959887,       2.492952676
          0,           0,          51,      -3.159962246,     -0.2841539678,         -1.000165,       2.467214436
          0,           0,          52,      -3.176203001,     -0.2992117448,      -1.012697437,       2.448676747
          0,           0,          53,      -3.192034478,     -0.3125463164,      -1.025627319,       2.434866753
