"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.5249166383,       2.262574259,       2.141885316,       5.209566734
          0,           0,           1,     -0.7419941323,        2.04633917,       1.961439643,       5.005236739
          0,           0,           2,     -0.8097320956,       2.002240077,       1.828860958,       4.940010917
          0,           0,           3,     -0.9441307655,         1.8840078,       1.648043941,         4.8028053
          0,           0,           4,        -1.0352356,       1.769528819,       1.506125858,       4.688230096
          0,           0,           5,      -1.118335258,       1.669821329,       1.392050091,       4.585818739
          0,           0,           6,      -1.210653053,       1.560520913,       1.290661601,       4.477011316
          0,           0,           7,      -1.313680871,       1.443221659,       1.185256132,       4.366023041
          0,           0,           8,      -1.427083936,       1.322331977,       1.066782034,       4.250356379
          0,           0,           9,      -1.561283428,       1.184058667,      0.9340244414,       4.114660803
          0,           0,          10,      -1.710759442,       1.034650182,      0.7944023077,       3.965894939
          0,           0,          11,      -1.852140533,      0.9051809593,      0.6492748202,       3.835567368
          0,           0,          12,      -1.993806628,      0.7857452958,      0.5094174374,       3.711956114
          0,           0,          13,      -2.128893419,      0.6690788924,      0.3778152708,        3.59270985
          0,           0,          14,      -2.246554168,      0.5667139933,      0.2578174172,       3.486940559
          0,           0,          15,      -2.348252312,      0.4772662227,      0.1378733776,       3.393200792
          0,           0,          16,      -2.453353407,      0.3838444754,     0.02675286573,       3.296212506
          0,           0,          17,      -2.554363337,      0.2944303904,    -0.09237575152,       3.204267774
          0,           0,          18,      -2.666614285,       0.199413295,     -0.2131483855,       3.103903504
          0,           0,          19,      -2.767383698,      0.1171502722,     -0.3359365995,       3.018263961
          0,           0,          20,      -2.875224553,     0.03136689411,     -0.4499629555,       2.927153143
          0,           0,          21,      -2.967417709,    -0.04380970593,     -0.5678349591,       2.848663786
          0,           0,          22,      -3.055729689,     -0.1164484541,     -0.6763287517,       2.772427518
          0,           0,          23,      -3.140145285,     -0.1885578693,     -0.7848819237,       2.697463567
          0,           0,          24,      -3.222743289,     -0.2610791888,     -0.8859175231,       2.622615172
          0,           0,          25,      -3.301917951,     -0.3336661776,     -0.9918281217,       2.547559029
          0,           0,          26,      -3.387367196,     -0.4113207244,      -1.087209769,       2.467669216
          0,           0,          27,       -3.46819915,       -0.48572856,      -1.184185581,       2.390561827
          0,           0,          28,      -3.545337261,     -0.5573219782,      -1.275324548,       2.317437195
          0,           0,          29,      -3.619866715,     -0.6251654169,       -1.35778572,       2.247993429
          0,           0,          30,      -3.686846713,     -0.6884683319,      -1.441939638,       2.184366505
          0,           0,          31,      -3.756790127,     -0.7539313471,      -1.521488496,       2.118437859
          0,           0,          32,      -3.828009945,     -0.8220911103,       -1.60467598,       2.049788525
          0,           0,          33,      -3.904390717,     -0.8950496452,      -1.690095657,       1.975850141
          0,           0,          34,      -3.983938003,      -0.971400308,      -1.772872569,       1.898299964
          0,           0,          35,      -4.062045882,       -1.04642327,      -1.855018723,       1.821960266
          0,           0,          36,      -4.135834179,      -1.118198522,      -1.928522847,        1.74971591
          0,           0,          37,      -4.202573596,      -1.183599767,      -1.999138818,       1.684379343
          0,           0,          38,      -4.264711384,      -1.245655809,      -2.066925842,       1.623238405
          0,           0,          39,      -4.326439901,      -1.307279696,      -2.135521083,       1.562474558
          0,           0,          40,      -4.390934778,      -1.371628027,       -2.20833403,       1.498759205
          0,           0,          41,      -4.460341232,      -1.440575638,      -2.281309809,       1.430100061
          0,           0,          42,       -4.53292598,      -1.512309708,       -2.35735841,       1.358245676
          0,           0,          43,      -4.606871342,      -1.585803815,      -2.429298369,       1.284776584
          0,           0,          44,      -4.678065327,       -1.65681555,      -2.501496715,       1.213889777
          0,           0,          45,      -4.745515518,       -1.72506501,      -2.570876531,       1.146318722
          0,           0,          46,      -4.808776118,      -1.789439874,       -2.64205636,       1.082790537
          0,           0,          47,      -4.870181186,      -1.852316992,      -2.715349781,       1.020900801
          0,           0,          48,      -4.931813517,      -1.915197097,      -2.789722466,      0.9588274997
          0,           0,          49,      -4.994493587,      -1.979001865,      -2.865767649,      0.8956340476
          0,           0,          50,      -5.058791621,      -2.044380781,      -2.937014375,      0.8307656985
          0,           0,          51,      -5.122991549,      -2.109676923,      -3.006415185,       0.765884819
          0,           0,          52,      -5.186891365,      -2.175042578,      -3.069828028,      0.7010722428
          0,           0,          53,      -5.249212022,       -2.23881492,      -3.133998737,      0.6378152023
          0,           0,          54,      -5.310567865,      -2.301864623,       -3.19901219,      0.5753615323
          0,           0,          55,      -5.371163969,      -2.363826043,      -3.268578593,      0.5138323959
          0,           0,          56,      -5.431376268,      -2.425307239,      -3.342517724,      0.4526970622
          0,           0,          57,      -5.491350779,      -2.486253846,       -3.41782419,      0.3919541088
          0,           0,          58,      -5.550435983,      -2.546167009,      -3.492958101,      0.3321802045
          0,           0,          59,      -5.608534623,      -2.605146182,      -3.561689401,      0.2733672578
          0,           0,          60,       -5.66525355,      -2.662651321,       -3.62520093,      0.2160237812
          0,           0,          61,      -5.721038035,      -2.719409335,      -3.682145341,      0.1594835823
          0,           0,          62,      -5.776292824,      -2.775447134,      -3.737615018,      0.1035905964
          0,           0,          63,      -5.831428089,       -2.83137975,      -3.793647626,     0.04775679472
          0,           0,          64,      -5.886622539,      -2.887111825,      -3.852659343,   -0.007993881872
          0,           0,          65,        -5.9415374,      -2.942421695,      -3.915299973,    -0.06338411135
