"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.204927974,      -5.203517986,      -5.956125482,       -5.14008117,      -4.597761973
          0,           0,           1,      -4.722197779,      -4.540793218,      -4.747112637,      -4.625792345,      -4.110201574
          0,           0,           2,      -4.694152812,      -4.597853929,      -4.524027532,      -4.441747798,      -4.088379857
          0,           0,           3,      -4.616234294,       -4.55146819,      -4.424180415,      -4.296689298,      -4.006878684
          0,           0,           4,      -4.655598241,      -4.611789273,      -4.438490403,      -4.256678608,      -4.045316098
          0,           0,           5,      -4.687046346,      -4.714054764,       -4.47599454,      -4.283400436,      -4.078187755
          0,           0,           6,      -4.690160206,      -4.710869824,      -4.507144581,      -4.330458195,      -4.076003722
          0,           0,           7,      -4.746671363,      -4.743688238,      -4.565211011,      -4.383390666,      -4.130186887
          0,           0,           8,      -4.850386581,      -4.857533095,      -4.657197547,      -4.445158353,      -4.232475715
          0,           0,           9,      -4.918780378,      -4.957006861,      -4.768012491,      -4.523062118,      -4.301290097
          0,           0,          10,      -4.983396995,      -5.024620932,      -4.883663953,       -4.61489914,      -4.366177162
          0,           0,          11,      -5.086211709,      -5.113875622,       -5.00514304,      -4.715986955,      -4.467627227
          0,           0,          12,       -5.18989588,       -5.20044191,      -5.129678062,      -4.825977539,      -4.569669029
          0,           0,          13,       -5.26418346,       -5.26247827,      -5.246446194,      -4.944309222,      -4.643462696
          0,           0,          14,      -5.338182328,      -5.332327107,      -5.353912803,      -5.067658828,      -4.716758144
          0,           0,          15,      -5.434594609,      -5.432060078,      -5.462874364,       -5.19435792,      -4.811214351
          0,           0,          16,      -5.547369967,      -5.554064499,      -5.581391837,      -5.325577864,      -4.921167051
          0,           0,          17,      -5.663453777,      -5.678401184,      -5.708557356,      -5.461126474,      -5.034659053
          0,           0,          18,      -5.780558651,      -5.793912653,      -5.839595937,      -5.596442639,      -5.150032654
          0,           0,          19,      -5.903363773,      -5.903702003,      -5.971866999,      -5.726281761,       -5.27191129
          0,           0,          20,      -6.029321419,      -6.009853198,      -6.105063945,      -5.850496056,      -5.398095298
          0,           0,          21,      -6.146284081,      -6.107252649,      -6.237638038,      -5.972965342,      -5.517204567
          0,           0,          22,      -6.245697554,      -6.193448075,       -6.36552691,      -6.095615742,      -5.620235941
          0,           0,          23,      -6.333428869,      -6.274786616,       -6.48498959,      -6.215783982,      -5.711277027
          0,           0,          24,      -6.421499144,      -6.359958551,      -6.595845469,      -6.328906128,      -5.801322232
          0,           0,          25,      -6.516933621,      -6.453243169,      -6.701422876,      -6.432863553,       -5.89752818
          0,           0,          26,      -6.619537696,      -6.553368679,      -6.805756591,      -6.529729082,       -6.00022727
          0,           0,          27,      -6.723591779,       -6.65490787,      -6.910151306,      -6.623676311,      -6.104254085
          0,           0,          28,      -6.821424971,      -6.751236904,       -7.01040815,       -6.71748514,      -6.202340449
          0,           0,          29,       -6.90921572,      -6.839017177,      -7.097854159,      -6.810558478,      -6.290677269
          0,           0,          30,      -6.989835158,      -6.920345915,      -7.167010951,      -6.899869492,      -6.371802381
          0,           0,          31,      -7.068967034,      -6.999896716,      -7.222331428,      -6.983308851,      -6.451096975
          0,           0,          32,      -7.150339575,      -7.081111109,      -7.273714489,      -7.061940675,       -6.53220819
          0,           0,          33,      -7.235086291,      -7.165509591,       -7.32899586,      -7.138608978,      -6.616338325
          0,           0,          34,      -7.323129729,      -7.253941951,      -7.392226004,      -7.215479804,      -6.703564956
          0,           0,          35,      -7.413374359,      -7.346962067,      -7.464966438,      -7.293482749,      -6.793047169
          0,           0,          36,      -7.502544076,      -7.443729935,      -7.546878575,      -7.372839036,      -6.881913715
          0,           0,          37,      -7.585347166,      -7.540535454,      -7.635372245,      -7.452889522,      -6.965228452
          0,           0,          38,      -7.658244926,       -7.63158118,      -7.725459382,      -7.531182829,      -7.039288898
          0,           0,          39,      -7.723221059,       -7.71258115,      -7.810739936,      -7.603520764,      -7.105353865
          0,           0,          40,      -7.786183679,      -7.783912171,      -7.886287253,      -7.666480176,      -7.168677249
          0,           0,          41,      -7.852104986,      -7.849484241,      -7.951494438,      -7.720694677,      -7.234104581
          0,           0,          42,      -7.922428201,      -7.913338934,      -8.009798225,      -7.770864123,      -7.303413051
          0,           0,          43,      -7.995681651,      -7.977994132,      -8.065863057,      -7.822547797,      -7.375689675
          0,           0,          44,      -8.069586223,      -8.044660291,      -8.123345271,      -7.879484832,      -7.449173757
          0,           0,          45,      -8.142937835,      -8.113871736,      -8.184266003,      -7.942986286,      -7.522855881
          0,           0,          46,      -8.216145318,      -8.185596033,      -8.249093417,      -8.012352326,      -7.596906437
          0,           0,          47,      -8.290242785,      -8.258969051,      -8.316961547,      -8.085360091,      -7.671903449
          0,           0,          48,      -8.365511394,      -8.332237048,      -8.385828835,      -8.158599774,      -7.747749912
          0,           0,          49,       -8.44091369,      -8.403375754,      -8.452827574,      -8.228076002,      -7.823257589
          0,           0,          50,      -8.514549903,      -8.471164524,      -8.515123977,      -8.290455107,      -7.896602196
          0,           0,          51,      -8.584918667,      -8.536066187,      -8.571155875,       -8.34462527,      -7.966468634
          0,           0,          52,      -8.652160033,      -8.600172521,      -8.621466708,      -8.392303767,      -8.033128441
          0,           0,          53,      -8.718325353,      -8.666317918,      -8.668407434,      -8.437012146,       -8.09861428
          0,           0,          54,      -8.786469397,      -8.737028939,      -8.715043574,      -8.482400993,      -8.165854224
          0,           0,          55,      -8.859291746,      -8.813731545,      -8.764093831,      -8.531128547,      -8.237422063
          0,           0,          56,      -8.938095967,      -8.896205531,       -8.81735735,      -8.584541507,       -8.31458322
          0,           0,          57,       -9.02216029,      -8.982180765,      -8.875618988,      -8.642815024,      -8.396729687
          0,           0,          58,      -9.108401427,      -9.067289903,      -8.938766303,      -8.705234482,      -8.481106972
          0,           0,          59,      -9.191651322,      -9.146047601,      -9.005903981,      -8.770472356,      -8.563081896
          0,           0,          60,      -9.266421155,      -9.214378341,      -9.075369322,      -8.836823887,      -8.637655349
          0,           0,          61,      -9.330018047,      -9.272223215,       -9.14471872,      -8.902415014,      -8.702132648
          0,           0,          62,      -9.384397691,      -9.323464116,      -9.210919962,      -8.965426337,      -8.757875246
          0,           0,          63,      -9.434590691,      -9.373251742,      -9.271003785,      -9.024380953,      -8.809198915
          0,           0,          64,      -9.485584814,      -9.425512837,       -9.32313692,      -9.078461748,      -8.860688521
          0,           0,          65,      -9.540463508,      -9.482046027,      -9.367500486,      -9.127717723,      -8.915364207
          0,           0,          66,      -9.600123364,      -9.542679157,      -9.406215595,      -9.173015913,      -8.974254332
          0,           0,          67,      -9.663677998,      -9.605794572,      -9.442357203,       -9.21575145,      -9.036697448
          0,           0,          68,      -9.729051337,      -9.669029895,      -9.478859507,      -9.257483285,      -9.100884228
          0,           0,          69,      -9.793731702,        -9.7301562,      -9.517894294,      -9.299648733,      -9.164553954
          0,           0,          70,      -9.855696271,      -9.787945605,       -9.56073278,      -9.343403964,      -9.225832442
          0,           0,          71,      -9.914219353,      -9.842603528,      -9.607870177,      -9.389566079,      -9.283971559
